Old name;New name or PV needs to be Paused/Deleted
HBL-010Crm:SC-FSM-700:OpMode_Manual;HBL-010Crm:SC-FSM-700:OpMode_Forced
HBL-010Crm:SC-FSM-700:Opened;HBL-010Crm:SC-FSM-700:ON
HBL-010Crm:SC-FSM-700:Closed;HBL-010Crm:SC-FSM-700:OFF
HBL-010Crm:SC-FSM-700:VGP_1000_HI;Pause
HBL-010Crm:SC-FSM-700:VGP_1000_LO;Pause
HBL-010Crm:SC-FSM-700:VGP_2000_HI;Pause
HBL-010Crm:SC-FSM-700:VGP_2000_LO;Pause
HBL-010Crm:SC-FSM-700:VGP_3000_HI;Pause
HBL-010Crm:SC-FSM-700:VGP_3000_LO;Pause
HBL-010Crm:SC-FSM-700:VGP_4000_HI;Pause
HBL-010Crm:SC-FSM-700:VGP_4000_LO;Pause
HBL-010Crm:SC-FSM-700:IsoVacOK_lvl_VGP_HI;Pause
HBL-010Crm:SC-FSM-700:IsoVacOK_lvl_VGP_LO;Pause
HBL-010Crm:SC-FSM-700:IsoVacOK_lvl_VGC_HI;Pause
HBL-010Crm:SC-FSM-700:IsoVacOK_lvl_VGC_LO;Pause
HBL-010Crm:SC-FSM-700:CDS_Cryo_OK;Pause
HBL-010Crm:SC-FSM-701:OpMode_Manual;HBL-010Crm:SC-FSM-701:OpMode_Forced
HBL-010Crm:SC-FSM-701:Opened;HBL-010Crm:SC-FSM-701:ON
HBL-010Crm:SC-FSM-701:Closed;HBL-010Crm:SC-FSM-701:OFF
HBL-010Crm:SC-FSM-701:VGP_1000_HI;Delete
HBL-010Crm:SC-FSM-701:VGP_1000_LO;Delete
HBL-010Crm:SC-FSM-701:VGP_2000_HI;Delete
HBL-010Crm:SC-FSM-701:VGP_2000_LO;Delete
HBL-010Crm:SC-FSM-701:VGP_3000_HI;Delete
HBL-010Crm:SC-FSM-701:VGP_3000_LO;Delete
HBL-010Crm:SC-FSM-701:VGP_4000_HI;Delete
HBL-010Crm:SC-FSM-701:VGP_4000_LO;Delete
HBL-010Crm:SC-FSM-701:IsoVacOK_lvl_VGP_HI;Delete
HBL-010Crm:SC-FSM-701:IsoVacOK_lvl_VGP_LO;Delete
HBL-010Crm:SC-FSM-701:IsoVacOK_lvl_VGC_HI;Delete
HBL-010Crm:SC-FSM-701:IsoVacOK_lvl_VGC_LO;Delete
HBL-010Crm:SC-FSM-701:CDS_Cryo_OK;Delete
HBL-010Crm:SC-FSM-702:OpMode_Manual;HBL-010Crm:SC-FSM-702:OpMode_Forced
HBL-010Crm:SC-FSM-702:Opened;HBL-010Crm:SC-FSM-702:ON
HBL-010Crm:SC-FSM-702:Closed;HBL-010Crm:SC-FSM-702:OFF
HBL-010Crm:SC-FSM-702:VGP_1000_HI;Delete
HBL-010Crm:SC-FSM-702:VGP_1000_LO;Delete
HBL-010Crm:SC-FSM-702:VGP_2000_HI;Delete
HBL-010Crm:SC-FSM-702:VGP_2000_LO;Delete
HBL-010Crm:SC-FSM-702:VGP_3000_HI;Delete
HBL-010Crm:SC-FSM-702:VGP_3000_LO;Delete
HBL-010Crm:SC-FSM-702:VGP_4000_HI;Delete
HBL-010Crm:SC-FSM-702:VGP_4000_LO;Delete
HBL-010Crm:SC-FSM-702:IsoVacOK_lvl_VGP_HI;Delete
HBL-010Crm:SC-FSM-702:IsoVacOK_lvl_VGP_LO;Delete
HBL-010Crm:SC-FSM-702:IsoVacOK_lvl_VGC_HI;Delete
HBL-010Crm:SC-FSM-702:IsoVacOK_lvl_VGC_LO;Delete
HBL-010Crm:SC-FSM-702:CDS_Cryo_OK;Delete
HBL-010Crm:Cryo-EH-010:LMN;Pause
HBL-010Crm:Cryo-EH-010:LMN_P;Pause
HBL-010Crm:Cryo-EH-010:LMN_I;Pause
HBL-010Crm:Cryo-EH-010:LMN_D;Pause
HBL-010Crm:Cryo-EH-010:PID_DIF;Pause
HBL-010Crm:Cryo-EH-010:PV;Pause
HBL-010Crm:Cryo-EH-010:MAN_SP;Pause
HBL-010Crm:Cryo-EH-011:LMN;Pause
HBL-010Crm:Cryo-EH-011:LMN_P;Pause
HBL-010Crm:Cryo-EH-011:LMN_I;Pause
HBL-010Crm:Cryo-EH-011:LMN_D;Pause
HBL-010Crm:Cryo-EH-011:PID_DIF;Pause
HBL-010Crm:Cryo-EH-011:PV;Pause
HBL-010Crm:Cryo-EH-011:MAN_SP;Pause
HBL-010Crm:Cryo-EH-012:LMN;Pause
HBL-010Crm:Cryo-EH-012:LMN_P;Pause
HBL-010Crm:Cryo-EH-012:LMN_I;Pause
HBL-010Crm:Cryo-EH-012:LMN_D;Pause
HBL-010Crm:Cryo-EH-012:PID_DIF;Pause
HBL-010Crm:Cryo-EH-012:PV;Pause
HBL-010Crm:Cryo-EH-012:MAN_SP;Pause
HBL-010Crm:Cryo-EH-013:LMN;Pause
HBL-010Crm:Cryo-EH-013:LMN_P;Pause
HBL-010Crm:Cryo-EH-013:LMN_I;Pause
HBL-010Crm:Cryo-EH-013:LMN_D;Pause
HBL-010Crm:Cryo-EH-013:PID_DIF;Pause
HBL-010Crm:Cryo-EH-013:PV;Pause
HBL-010Crm:Cryo-EH-013:MAN_SP;Pause
HBL-010Crm:Cryo-EH-020:LMN;Pause
HBL-010Crm:Cryo-EH-020:LMN_P;Pause
HBL-010Crm:Cryo-EH-020:LMN_I;Pause
HBL-010Crm:Cryo-EH-020:LMN_D;Pause
HBL-010Crm:Cryo-EH-020:PID_DIF;Pause
HBL-010Crm:Cryo-EH-020:PV;Pause
HBL-010Crm:Cryo-EH-020:MAN_SP;Pause
HBL-010Crm:Cryo-EH-021:LMN;Pause
HBL-010Crm:Cryo-EH-021:LMN_P;Pause
HBL-010Crm:Cryo-EH-021:LMN_I;Pause
HBL-010Crm:Cryo-EH-021:LMN_D;Pause
HBL-010Crm:Cryo-EH-021:PID_DIF;Pause
HBL-010Crm:Cryo-EH-021:PV;Pause
HBL-010Crm:Cryo-EH-021:MAN_SP;Pause
HBL-010Crm:Cryo-EH-022:LMN;Pause
HBL-010Crm:Cryo-EH-022:LMN_P;Pause
HBL-010Crm:Cryo-EH-022:LMN_I;Pause
HBL-010Crm:Cryo-EH-022:LMN_D;Pause
HBL-010Crm:Cryo-EH-022:PID_DIF;Pause
HBL-010Crm:Cryo-EH-022:PV;Pause
HBL-010Crm:Cryo-EH-022:MAN_SP;Pause
HBL-010Crm:Cryo-EH-023:LMN;Pause
HBL-010Crm:Cryo-EH-023:LMN_P;Pause
HBL-010Crm:Cryo-EH-023:LMN_I;Pause
HBL-010Crm:Cryo-EH-023:LMN_D;Pause
HBL-010Crm:Cryo-EH-023:PID_DIF;Pause
HBL-010Crm:Cryo-EH-023:PV;Pause
HBL-010Crm:Cryo-EH-023:MAN_SP;Pause
HBL-010Crm:Cryo-EH-030:LMN;Pause
HBL-010Crm:Cryo-EH-030:LMN_P;Pause
HBL-010Crm:Cryo-EH-030:LMN_I;Pause
HBL-010Crm:Cryo-EH-030:LMN_D;Pause
HBL-010Crm:Cryo-EH-030:PID_DIF;Pause
HBL-010Crm:Cryo-EH-030:PV;Pause
HBL-010Crm:Cryo-EH-030:MAN_SP;Pause
HBL-010Crm:Cryo-EH-031:LMN;Pause
HBL-010Crm:Cryo-EH-031:LMN_P;Pause
HBL-010Crm:Cryo-EH-031:LMN_I;Pause
HBL-010Crm:Cryo-EH-031:LMN_D;Pause
HBL-010Crm:Cryo-EH-031:PID_DIF;Pause
HBL-010Crm:Cryo-EH-031:PV;Pause
HBL-010Crm:Cryo-EH-031:MAN_SP;Pause
HBL-010Crm:Cryo-EH-032:LMN;Pause
HBL-010Crm:Cryo-EH-032:LMN_P;Pause
HBL-010Crm:Cryo-EH-032:LMN_I;Pause
HBL-010Crm:Cryo-EH-032:LMN_D;Pause
HBL-010Crm:Cryo-EH-032:PID_DIF;Pause
HBL-010Crm:Cryo-EH-032:PV;Pause
HBL-010Crm:Cryo-EH-032:MAN_SP;Pause
HBL-010Crm:Cryo-EH-033:LMN;Pause
HBL-010Crm:Cryo-EH-033:LMN_P;Pause
HBL-010Crm:Cryo-EH-033:LMN_I;Pause
HBL-010Crm:Cryo-EH-033:LMN_D;Pause
HBL-010Crm:Cryo-EH-033:PID_DIF;Pause
HBL-010Crm:Cryo-EH-033:PV;Pause
HBL-010Crm:Cryo-EH-033:MAN_SP;Pause
HBL-010Crm:Cryo-EH-040:LMN;Pause
HBL-010Crm:Cryo-EH-040:LMN_P;Pause
HBL-010Crm:Cryo-EH-040:LMN_I;Pause
HBL-010Crm:Cryo-EH-040:LMN_D;Pause
HBL-010Crm:Cryo-EH-040:PID_DIF;Pause
HBL-010Crm:Cryo-EH-040:PV;Pause
HBL-010Crm:Cryo-EH-040:MAN_SP;Pause
HBL-010Crm:Cryo-EH-041:LMN;Pause
HBL-010Crm:Cryo-EH-041:LMN_P;Pause
HBL-010Crm:Cryo-EH-041:LMN_I;Pause
HBL-010Crm:Cryo-EH-041:LMN_D;Pause
HBL-010Crm:Cryo-EH-041:PID_DIF;Pause
HBL-010Crm:Cryo-EH-041:PV;Pause
HBL-010Crm:Cryo-EH-041:MAN_SP;Pause
HBL-010Crm:Cryo-EH-042:LMN;Pause
HBL-010Crm:Cryo-EH-042:LMN_P;Pause
HBL-010Crm:Cryo-EH-042:LMN_I;Pause
HBL-010Crm:Cryo-EH-042:LMN_D;Pause
HBL-010Crm:Cryo-EH-042:PID_DIF;Pause
HBL-010Crm:Cryo-EH-042:PV;Pause
HBL-010Crm:Cryo-EH-042:MAN_SP;Pause
HBL-010Crm:Cryo-EH-043:LMN;Pause
HBL-010Crm:Cryo-EH-043:LMN_P;Pause
HBL-010Crm:Cryo-EH-043:LMN_I;Pause
HBL-010Crm:Cryo-EH-043:LMN_D;Pause
HBL-010Crm:Cryo-EH-043:PID_DIF;Pause
HBL-010Crm:Cryo-EH-043:PV;Pause
HBL-010Crm:Cryo-EH-043:MAN_SP;Pause
HBL-010Crm:WtrC-FS-005:FlowTooHigh;HBL-010Crm:WtrC-FS-005:Flow_OK_RF
HBL-010Crm:WtrC-FS-005:FlowTooLow;HBL-010Crm:WtrC-FS-005:Flow_OK_WF
HBL-010Crm:WtrC-FS-006:FlowTooHigh;HBL-010Crm:WtrC-FS-006:Flow_OK_RF
HBL-010Crm:WtrC-FS-006:FlowTooLow;HBL-010Crm:WtrC-FS-006:Flow_OK_WF
